station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station252;Temperature;2019;1;2;19;25.60333345
station206;Temperature;2019;1;2;19;22.7016666666667
station229;Temperature;2019;1;2;19;23.7663333333333
station322;Temperature;2019;1;2;19;25.365
station318;Temperature;2019;1;2;19;24.4191667333333
station105;Temperature;2019;1;2;19;-98.3933333333333
station82;Temperature;2019;1;2;20;21.65
station254;Temperature;2019;1;2;20;22.5903333333333
station319;Temperature;2019;1;2;20;23.2306667
station271;Temperature;2019;1;2;20;23.5581668
station349;Temperature;2019;1;2;20;-999
station83;Temperature;2019;1;2;20;20.575
station68;Temperature;2019;1;2;20;23.385
station197;Temperature;2019;1;2;20;22.87450005
station59;Temperature;2019;1;2;20;21.5816666666667
station313;Temperature;2019;1;2;20;19.1645000166667
station252;Temperature;2019;1;2;20;24.1236667833333
station206;Temperature;2019;1;2;20;21.1816666666667
station229;Temperature;2019;1;2;20;21.89733325
station322;Temperature;2019;1;2;20;22.3630000666667
station318;Temperature;2019;1;2;20;22.3541665833333
station105;Temperature;2019;1;2;20;-166.991666666667
station82;Temperature;2019;1;2;21;19.8416666666667
station254;Temperature;2019;1;2;21;21.7369998666667
station319;Temperature;2019;1;2;21;21.7098334166667
station271;Temperature;2019;1;2;21;22.2644999166667
station349;Temperature;2019;1;2;21;-999
station83;Temperature;2019;1;2;21;19.5066666666667
station68;Temperature;2019;1;2;21;21.98
station197;Temperature;2019;1;2;21;21.7613332666667
station59;Temperature;2019;1;2;21;20.7933333333333
station313;Temperature;2019;1;2;21;17.3993332
station252;Temperature;2019;1;2;21;22.5295002
station206;Temperature;2019;1;2;21;19.7833333333333
station229;Temperature;2019;1;2;21;20.5613333833333
station322;Temperature;2019;1;2;21;20.8406666666667
station318;Temperature;2019;1;2;21;21.43549985
station105;Temperature;2019;1;2;21;-201.69
station82;Temperature;2019;1;2;22;18.9083333333333
station254;Temperature;2019;1;2;22;20.1763333
station319;Temperature;2019;1;2;22;21.2786667166667
station271;Temperature;2019;1;2;22;21.4138333833333
station349;Temperature;2019;1;2;22;-999
station83;Temperature;2019;1;2;22;18.5133333333333
station68;Temperature;2019;1;2;22;21.3733333333333
station197;Temperature;2019;1;2;22;19.8363333333333
station59;Temperature;2019;1;2;22;20.2083333333333
station313;Temperature;2019;1;2;22;16.06983325
station252;Temperature;2019;1;2;22;21.29883335
station206;Temperature;2019;1;2;22;18.4966666666667
station229;Temperature;2019;1;2;22;19.5856668
station322;Temperature;2019;1;2;22;19.4746667666667
station318;Temperature;2019;1;2;22;20.0390000333333
station105;Temperature;2019;1;2;22;-117.335
station82;Temperature;2019;1;2;23;18.0983333333333
station254;Temperature;2019;1;2;23;18.8333331666667
station319;Temperature;2019;1;2;23;20.5411665666667
station271;Temperature;2019;1;2;23;20.6740000333333
station349;Temperature;2019;1;2;23;-999
station83;Temperature;2019;1;2;23;17.605
station68;Temperature;2019;1;2;23;20.6183333333333
station197;Temperature;2019;1;2;23;18.8616666833333
station59;Temperature;2019;1;2;23;19.325
station313;Temperature;2019;1;2;23;16.36416685
